stop_id,stop_name,バス停名称(英語),stop_code,stop_desc,説明(英語),stop_lat,stop_lon,zone_id,stop_url,parent_station,wheelchair_boarding,標準地域コード
53,あじさいのまち北中山　北中山公民館（北）,,,,,35.952278,136.238166,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
54,磯部口（北）,,,,,35.952354,136.241089,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
55,戸口,,,,,35.952362,136.246353,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
56,別司口,,,,,35.949047,136.257309,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
57,別司,,,,,35.948803,136.259628,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
58,河和田口,,,,,35.948715,136.267838,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
59,河和田,,,,,35.949532,136.269836,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
60,莇生田口（北）,,,,,35.948151,136.271927,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
61,自然豊かなまち河和田　河和田ｺﾐｭﾆﾃｨｾﾝﾀｰ（東）,,,,,35.951012,136.274445,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
62,うるしの里会館,,,,,35.953178,136.274216,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
63,河和田小学校前（北）,,,,,35.953854,136.277969,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
64,金谷口（北）,,,,,35.954277,136.282043,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
65,北中（北）,,,,,35.954308,136.284439,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
66,寺中,,,,,35.954597,136.289703,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
67,尾花,,,,,35.952206,136.294693,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
68,ラポーゼかわだ（南）,,,,,35.948242,136.301361,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
69,ラポーゼかわだ（北）,,,,,35.948772,136.301361,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
70,北中（南）,,,,,35.954227,136.284424,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
71,金谷口（南）,,,,,35.954151,136.281921,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
72,河和田小学校前（南）,,,,,35.953754,136.278046,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
73,自然豊かなまち河和田　河和田ｺﾐｭﾆﾃｨｾﾝﾀｰ（西）,,,,,35.950996,136.274307,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
74,莇生田口（南）,,,,,35.948009,136.271896,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
75,磯部口（南）,,,,,35.952263,136.240509,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
76,あじさいのまち北中山　北中山公民館（南）,,,,,35.952175,136.2382,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
77,樋口（南）,,,,,35.953266,136.210678,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
78,桜あふれるまち中河　中河小学校前（南）,,,,,35.954727,136.209076,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
79,神中町１丁目（南）,,,,,35.968906,136.195679,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
80,越のゆ前（神中町２丁目東）（南）,,,,,35.969734,136.192719,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
81,神中町２丁目（南）,,,,,35.971031,136.18808,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
82,体育館北（北）,,,,,35.946751,136.198571,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
83,体育館西（西）,,,,,35.944308,136.196372,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
84,柳町３丁目（南）,,,,,35.946465,136.191833,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
85,柳町１丁目（南）,,,,,35.946388,136.190277,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
86,JR鯖江駅（１番のりば）,,,,,35.943306,136.188187,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
87,本町1丁目（西）,,,,,35.944523,136.185135,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
88,本町２丁目（西）,,,,,35.945847,136.185257,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
89,市民ホールつつじ前（本山前）（南）,,,,,35.946411,136.18454,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
90,西鯖江駅前（南）,,,,,35.94685,136.182343,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
