stop_id,stop_name,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,parent_station,wheelchair_boarding
86,JR鯖江駅（１番のりば）,,,35.943306,136.188187,z1,,,
87,本町1丁目（西）,,,35.944523,136.185135,z1,,,
88,本町２丁目（西）,,,35.945847,136.185257,z1,,,
89,市民ホールつつじ前（本山前）（南）,,,35.946411,136.18454,z1,,,
90,西鯖江駅前（南）,,,35.94685,136.182343,z1,,,
91,嚮陽会館（南）,,,35.947071,136.180054,z1,,,
92,熊田（南）,,,35.948353,136.166306,z1,,,
93,石田中（西）,,,35.973766,136.158356,z1,,,
94,石田上（西）,,,35.978546,136.159765,z1,,,
95,公立丹南病院（２番のりば）,,,35.969696,136.178467,z1,,,
96,ふくしん神明支店前（三六町２丁目）（北）,,,35.972862,136.179453,z1,,,
97,住吉町１丁目,,,35.942054,136.180301,z1,,,
98,ひまわり公園,,,35.940343,136.179783,z1,,,
99,住吉町２丁目,,,35.939919,136.178207,z1,,,
100,ふれあいみんなの館・さばえ,,,35.937511,136.180222,z1,,,
101,舟津西,,,35.930817,136.178787,z1,,,
102,舟津町４丁目,,,35.934364,136.181473,z1,,,
103,宮前（サンドーム前）（北）,,,35.932438,136.188324,z1,,,
104,五郎丸南,,,35.932618,136.19141,z1,,,
105,定次団地,,,35.932568,136.193481,z1,,,
106,五郎丸口,,,35.935532,136.19133,z1,,,
107,宮前１丁目,,,35.935626,136.189034,z1,,,
108,ＪＲ鯖江駅東口,,,35.942774,136.189592,z1,,,
109,コスモスのまち新横江　新横江公民館前,,,35.941984,136.199784,z1,,,
110,斎藤病院前（出口）,,,35.944153,136.206268,z1,,,
111,新町,,,35.940716,136.207352,z1,,,
112,下新庄公民館,,,35.935406,136.209915,z1,,,
113,下新庄,,,35.931675,136.21228,z1,,,
114,鯖江東小学校（いきいき未来館）（南）,,,35.93882,136.198135,z1,,,
115,五郎丸（南）,,,35.939358,136.194275,z1,,,
116,ポケットパーク前,,,35.945302,136.185161,z1,,,
117,間部公ゆかりのまち鯖江　鯖江公民館,,,35.945354,136.183305,z1,,,
118,五郎丸（北）,,,35.939465,136.194275,z1,,,
119,鯖江東小学校（いきいき未来館）（北）,,,35.938938,136.198074,z1,,,
120,宮前（サンドーム前）（南）,,,35.932354,136.188293,z1,,,
121,幸道眼科前（幸町１丁目）（西）,,,35.974606,136.18074,z1,,,
